file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
BAC009S0730W0229,0.0,3.025,S0730,-45.993960138201324,-47.59763789176941,15.415338030265074,8.095636311866123
BAC009S0236W0205,0.0,6.989,S0236,-49.41160363018598,-50.148441488092594,15.367176922539588,7.777092333160599
BAC009S0770W0454,0.0,4.8518125,S0770,-47.37278914304124,-49.41311472112482,15.343843770621145,10.493101779746464
BAC009S0251W0255,0.0,4.359,S0251,-48.985530748279814,-48.909161744294344,15.33586720727674,8.32945315284642
BAC009S0739W0406,0.0,3.401125,S0739,-50.62517807904412,-55.698829650878906,15.33573640161001,10.681412691965956
BAC009S0116W0413,0.0,5.568125,S0116,-43.6762651481149,-43.788546295166014,15.321577091531346,8.177169598064392
BAC009S0190W0368,0.0,6.120875,S0190,-50.838902292687905,-52.49368340628488,15.292087299534227,9.287779307843397
BAC009S0153W0383,0.0,3.3630625,S0153,-48.22791980561756,-49.19119713523171,15.279176075082818,9.70336383735928
BAC009S0133W0368,0.0,7.410875,S0133,-48.34443530701754,-50.944726843582956,15.188337270125622,10.793065222133553
BAC009S0131W0190,0.0,3.728,S0131,-50.37952936494638,-53.45214353288923,15.136148561584616,7.960349621010817
BAC009S0186W0327,0.0,5.8250625,S0186,-48.660836326114925,-48.99096965789795,15.132542221916696,9.456710068680465
BAC009S0036W0179,0.0,6.2570625,S0036,-47.15528591753195,-46.83199462890625,15.121348731044264,11.369540834707099
BAC009S0014W0341,0.0,6.1071875,S0014,-45.22874578048282,-46.428502877553306,15.105965268100235,7.523603381952462
BAC009S0423W0391,0.0,7.031,S0423,-48.11708192567568,-50.96352345602853,15.085285000609897,6.976283228493973
BAC009S0073W0135,0.0,6.9930625,S0073,-47.109369411659515,-46.2087347611137,15.08079865978716,7.7987869252905355
BAC009S0662W0432,0.0,7.2150625,S0662,-44.791234742901665,-47.944743773516485,15.070329882273484,11.40304916993487
BAC009S0242W0229,0.0,5.9050625,S0242,-50.41635932212352,-49.63886047363281,15.043180469962001,7.4978874138913305
BAC009S0336W0309,0.0,4.0479375,S0336,-46.95182773919753,-49.697587273337625,15.043180469962001,10.213030667138256
BAC009S0075W0153,0.0,5.2740625,S0075,-43.652458639705884,-47.250338678774625,15.043175871286211,6.917829539674187
BAC009S0754W0143,0.0,6.872,S0754,-50.92474072052402,-52.63659139779898,15.015407023690264,12.552329600428381
BAC009S0762W0368,0.0,6.0649375,S0762,-47.36050304249175,-48.42368217136549,15.015399723846008,10.547865830454857
BAC009S0085W0335,0.0,4.234125,S0085,-50.664847443853425,-56.59048792521159,15.001062023502065,7.013966573648041
BAC009S0337W0495,0.0,9.4611875,S0337,-43.25731699260042,-44.93053979140062,15.001062023502065,12.20714444621266
BAC009S0352W0194,0.0,6.374,S0352,-52.237704817503925,-53.63784875869751,14.925761578253718,5.535981494313452
BAC009S0222W0334,0.0,4.359875,S0222,-48.678352565940365,-50.295774913969495,14.89384965535739,9.262445992944887
BAC009S0770W0139,0.0,4.4100625,S0770,-46.199976084183675,-51.48527457497337,14.861722529771045,1.6510107323482899
BAC009S0245W0201,0.0,4.9930625,S0245,-43.430740387024045,-43.83380635579427,14.85029361261892,7.911612665811855
BAC009S0749W0339,0.0,5.745125,S0749,-48.210482336956524,-49.0709051049274,14.829671149942525,8.070811870731326
BAC009S0517W0169,0.0,4.6589375,S0517,-47.59395537151288,-48.56579907735189,14.709226006082798,8.929749335606452
BAC009S0518W0141,0.0,4.912,S0518,-44.35958582612016,-47.14023366467706,14.70922235616067,2.9865957735939723
